text,sentiment
"And it falls squarely into the category of ""awesomely bad"" - ie a movie drunk students would rent to get a kick out of. I was at the sci fi movie festival and all I remember is a wave after wave of hysterical laughter as this movie premiered. Other critiques will better describe this movie's fecal nature, and I felt oh-so-bad at the poor guy from the production company who had turned up, obviously to gauge the audience's reaction. What he got was the sci fi equivalent of a drunken student audience, and after a ""serious"" anime movie, I think it was ""sky blue"", the audience was in a sombre mood, and then this movie opened and within seconds everyone in the room was rolling in the isles. I will bullet point the worst parts;Script: The funniest, and worst part of this movie, it clunks along a linear and predictable road with the occasional ill-thought-out aside. Rubbish, but eminently laughable.Animation: Poorly done, and put together, if you can put up with drab backgrounds and gradually skimpier costumes for the heroine (I know I can!), then watch out for the montage where she ""trasforms"" from a Swedish peasant girl into LADY DEATH!!!Characters: So one-dimensional its painful, there is a brief backstory (with side-splitting lines of dialogue) and little light is shone on the actual motivation behind some of the main characters.So, in a nutshell, if you've got a captive audience and a few beverages lying around (try and make sure they're alcoholic to ease the pain), then slip this movie into the DVD and get in a ""mystery science theatre 3000"" mindset. There is no other motivation to watch this movie other than to laugh at it, and its not meant to be a comedy. DO NOT WATCH THIS MOVIE ALONE. It could possible be even more boring to watch solo than ""New World"" with Colin Farrell as you won't be able to have a laugh at the ridiculousness with a friend or two.",negative
"This is one seriously disturbed movie. Even Though the boys deserved some of what they got.....the sadistic gruesome executions were ""slightly"" over the top. The only character showing some conscience early in the hunt was killed off before he could offer some help to the sad plot.At the beginning of the movie, there looked to be some promise of a mediocre affair, but this was just a ploy to lull the viewers into a false sense of security, before the joy of what was to come. The only thing that could have saved the movie for me was if Jack Nicholson had jumped out of the bushes and yelled, ""and, where is the batman?"". Kim Basinger could have screamed. Now that would have been cool!",negative
"Basically this is an overlong, unfunny, action/comedy. First of all I'd like to say that I did enjoy the Wayans brother Scary Movie (1) and the sequel had it's moments. Unfortunately white chicks doesn't even deliver HALF the laughs. The humour in it is absolutely crude. If you like burping, farting, stupid catchphrases you should probably look at this. When it isn't crude it's idiotic. The first 10 minutes of the film gave everything away to me, totally unfunny, simply idiotic. However I watched the whole thing since I was with a friend (otherwise I wouldn't have bothered). The story is undeniably thin, it was in scary movie too but there at least the laughs were quick and constant. I think this is probably one of the main problems too with this film, the laughs don't come quick enough. Some jokes are dragged out too long when they're more disgusting than funny in the first place. If you prefer your comedy with a few brain cells then just avoid this. If you want a silly comedy with more laughs then look at scary movie, airplane, hotshots 1 + 2. 1/10 Completely unfunny, Thin storyline, A film that seems to be based on one idea (i.e. what if we dressed up as white chicks for a film?) but simply didn't have enough material.",negative
"Hey if you have a little over an hour to kill and find paint to be too exciting I'd suggest it. If thou you happen to like cheap b-movies like me it's good for a giggle! Other than that I wouldn't suggest that you rent it, I'd wait till it comes on the tube say round 4 am on the free access channel of your cable/satellite supplier. The band that did this sound track by the way was on the road after for about two years after this flick, and no they sounded just as bad live according to the two small town reviews I could find on them. So once again good if you find grass growing to much fun but good to watch if you like to see how NOT to shoot a low budget movie.",negative
"Did anyone read the script. This has to be some of the worst writing and directing of the entire year. Three great actors, Paul Giamatti, Rachel Weisz and Miranda Richardson couldn't pull this one out. About two-thirds it looked like Giamatti eyes were saying, I can't believe I signed the contract. It's not the worst movie I ever saw, but it's on the really really bad Christmas movie list. Not enough lines, but what else can be said? Okay, the movie just doesn't move with Vaughn's con-man dialogue, his character is just a creepy guy that you just can't get past. It was just a lackluster walk through, that no one seemed to be able to get into.",negative
"Shakespeare said that we are actors put into a great stage. But when this stage is Israel the work that we interpret multiplies for ten and all the actions we do are full of a hard style. Dan Katzir manages to do a spectacular portrait of a part of life in Tel Aviv, but besides, Katzir manages to penetrate into the heart of the Israeli people and, this people, far from being simple prominent figures, they speak to us from the heart. Katzir's film allows Israel escape from dark informative crux in which they live, and this wonderful country arises to the light as a splendid bird which is born of his ashes. It is very great for me because the reality of state of Israel, which the Europeans only know for the informative diaries or the newspapers, appears as a close and absolutly human reality, the reality of million people who looking for his place, exploring the whole state, the whole culture with the only aim to feel part of it. Katzir constructs an absolutely wonderful documentary and he demonstrates that when a man films with passion the deepest feelings are projected with force, and these feelings cross our hearts. Thank you Dan for open our eyes and give us one of the most beautiful portraits of the most wonderful countries of the world.",positive
"Barbra Streisand is a tour de force in this Hollywood story. Her performances and the songs are one-of-a-kind and are special in the halls of great movies. The scene where she is introduced to the unexpecting audience by Kristopherson, against the crowds' wishes and hers, only to turn them around with her magnificent performance of ""Woman In the Moon"" is one of the best examples on film of how well a great performer can win over an audience. It's real. The scene where she records Evergreen ranks with the best in the business.. all live, no lip-sync, very special. Streisand is often criticized for being a Diva, but she delivers on this one. She is majestic singing ""With One More Look At You. She deserved the Oscar she and Paul Williams got for Evergreen. Kristopherson had his moments too, far above most of his movie appearances. This version of the ""Born"" franchise ranks with the first one of 1937 (Janet Gaynor, Frederic March)although I will always enjoy Judy Garland and James Mason musical remake of 1954. I haven't seen the DVD yet and don't know about its quality.",positive
"Well. Where to begin. Let's just say this; avoid this movie at allcosts. It's based on a cartoon series. The movie makes the cartoon looklike Hamlet. Filled with emasculated actors who seem embarrassed to behere, lousy camera work, terrible music, and enough product placement tomake you want to never visit Yahoo! again, this movie is really thebottom of the barrel. To quote the New Yorker, Matthew Broderick andRupert Everett mug their way through this picture with the gay abandonof men who have spotted a rare species of paycheck in the distance.""They should pay us some of the millions they earned for watching it.Awful.",negative
"The movie was TERRIBLE!!! Easily the worst movie I have seen in the past few years. One of those movies I will be able to tell people for the next three years that it was the worst movie I can think of. Thank you for giving me an answer to that burning question ""What is the worst movie you have seen?"" Answer: Celestine Prophecy. Trust me...I read the book, enjoyed the message and was excited to see the movie, but then, they treated the audience like we are r*tarded. There is no story and the story that is there is crippled by too much magic and coincidence. It is too bad they have to spell out the nine prophecies and can't simply weave them into a story that is entertaining to follow. They didn't spend any time on character development and it was easy to not care if any character died. It was embarrassing to be one of the few people who stuck around until the end of this incredibly boring movie. The book is pretty boring too but I enjoyed the parallels that could be seen in everyday life while you read the book. The film does not offer the same opportunity and I would suggest not seeing it if you want to continue to hold the words of the book close to your heart. DON'T SEE THIS MOVIE. Trust me.",negative
"I picked this movie up to replace the dismal choice of daytime television and to go with my thirst for femme fatales. Well, for the previous, it is better than daytime television....though I'm not sure how much.It does have its points but after about the first 20-30 minutes, the good points pan out and one comes to the conclusion that they are watching a made for TV movie that was put together with not much time to make something that will hold together. In short, a terrible Sci Fi channel type movie.It has its points such as the future is dirty, like ""Blade Runner"" showed ..... of course, this is no ""Blade Runner"". The Captain looks, sort of feels like actor Robert Forster, the kind of person one might want to be around.But unfortunately, it rather ends up feeling like a bad ""Andromeda"" rehash where the muscle of the crew consists of poor copies of the smart gunners of ""Aliens"", the mystic is vampire Willow sexually intensified, and the new Captain might as well be like Jan-Michael Vincent running around on ""Danger Island"" in the ""Banana Splits""; he only put on the uniform with the epaulets; he's got very little right to it. All of them running around with their version of force lances inside a ship that looks very much like the 'Eureka Maru' as they are fighting a class of 'people' who occupy the universe and are broken up into several different tribes or sects of different evolutionary qualities.......just like the Nietzcheans in ""Andromeda"".It might have a redeeming feature with Michael Ironside, but after a while, one gets the feeling that he took the part as a hoot! He probably had fun doing it, but it doesn't help the movie much.It's ..... ""okay"". Okay in the way that one might watch the DVD once without turning it off; if they watch it with commercials, they will probably change the channel. One might watch it once .......... but a few hours later, be wondering what it was that made them watch it all.For me, that was the femme fatale ............. when she was fighting.",negative
