review,sentiment
"If you've ever seen this movie, you'd know that it! If you haven't, and want to see a classic BAD movie, I suggest you see this movie, because it ranks right down with the worst. So, if you're REALLY bored, go rent it. If you want to know what it's like, here's my little summary: Adam Sandler is hired to work on a giant cruise ship with some Ms Universe models and five other people. Adam doesn't like how one passenger is getting all the babes, and he tries to take over with the cheezy jokes. BUT WAIT! It only gets worse! You'll have to rent the movie yourself to see how bad it truly is.",negative
"Alright, before we review, I have to ask: why isn't this listed individually? It may have been merely a TV item in Italy, but to international Lamberto Bava fans this is its own FILM. In America this film is distributed on VHS and DVD as either ""The Ogre"" or ""Demons 3"". Yes, I know it has nothing to do with ""Demons"" apart from one cast member and the crew. But yes, I personally was upset that this was so hard to find on this site which is otherwise so useful.<br /><br />Finally, let's review ""The Ogre"". I've seen the trailer for this many times on YouTube and honestly found that rather scary. The movie itself (it is feature length, therefore making it a movie) has many many strong parts and does manage to scare. I was displeased by the last act, but on the whole I don't regret having bought the DVD before seeing it (available from Shriek Show). I guess the film's TV origins explain the last act. I won't give out any spoilers.<br /><br />The plot is somewhat familiar: an American horror writer vacationing at an ancient spooky castle with husband and son only to find it exactly resembles the setting of her childhood nightmares. There are faint echoes of ""The Shining"", but this is a different brand of supernatural horror. The woman (Virginia Bryant) finds more and more proof that this is the real life place of her nightmares, but her husband won't believe her. Great atmosphere and terror follow.<br /><br />The multiple nightmare sequences were pretty freaky. The Ogre cocoon effect was good, it reminded me a bit of Uncle Frank's resurrection from the first ""Hellraiser"". There's also a few good shocks and a well done underwater scene. I give them props that the film never stooped to imitating American films with similar concepts, namely ""A Nightmare on Elm Street"". ""The Ogre"" is an original. And the monster itself was a scary one, when it was presented correctly.<br /><br />On the Shriek Show DVD there is a Lamberto Bava interview in which he is careful to mention that this is not part of his classic ""Demons"" series. He also gives a lot of credit to the real castle in which the movie was filmed. Indeed, this setting contributes a lot to the film. The Simon Boswell music helps too.<br /><br />There's lots of good stuff here. ""The Ogre"" is not perfect, but it is very much worth seeing. Take it is a lesser Lamberto Bava achievement.",positive
"After reading through many of the reviews, I don't know what movie some people were watching, but clearly it wasn't the same one I saw.<br /><br />This movie is horrible. The acting, primarily Moore's, is just terrible. The woman cannot act. Nice tits, but she just can't act. At no point did she come across as the actual character. Instead, it was spoiled Hollywood actress goes to the beach to play make-believe with the boys.<br /><br />And that's what this movie ultimately is -- Hollywood make-believe. The training sequences are over the top. The politics -- over the top. The political correctness -- over the top. The combat scenes -- you guessed it, over the top. Your mission is to get in and get out without being detected. So what do you do? Why shoot off as many rounds and make as much noise as possible, of course. Oh G.I. Jane, you can be my wing man anytime.<br /><br />The premise is good, but as soon as Hollywood gets a hold of it, we end up with Top Gun with tits.<br /><br />What more is to be expected from commercial US films anymore? Not much I guess.",negative
"Totally brain-dead actioner made in the Philippines. This belongs to the mode of Filipino movies which tried to pass themselves as American films on the international market. After a rather dull beginning, the movie takes off and never disappoints again. It is actually a rip-off of the worst movies Chuck Norris ever made : an American prisoner in Vietnam is brainwashed by the soviets who implant a microchip in his brain so he is programmed to kill the Pope, then the President of the USA. One of his old buddies (played by B-movie stalwart Max Thayer) is sent to stop him. Utterly ridiculous action scenes, putrid acting (Nick Nicholson's performance as the evil soviet commander is a must-see!)and implausible plot make up for one of the cheesiest action pictures ever bestowed in the general public.",negative
"Terrific little film that stars Mary Astor as a go-getter who works her way up as a struggling paper company, but when the owner has to sell for health reasons, she comes up with a scheme for the employees to buy the company with a jerk salesman (Robert Ames) as the ""front"" even though she is the brains.<br /><br />Of course he becomes a big success and she becomes his executive secretary, basically still running everything and teaching him class. She loves the dope, but he never catches on as he fools around with a string of bimbos. She is chased by a married but separated man, Ricardo Cortez, who isn't free. But when a society gal catches Ames, everything goes to hell.<br /><br />Astor is just wonderful as the too-smart woman who almost makes a huge mistake after she loses her man. Ames is good as the jerk (but what does she see in him?), and Cortez is good but doesn't have much to do. Kitty Kelly is good as the sidekick, Dolores. Charles Sellon is the original owner, Cather Dale Owen is the society babe, and Edna Murphy is funny as Daisy.<br /><br />Worth a look.",positive
"It is the early morning of our discontent, and some friends of mine and I have just gotten through watching ""The Wind."" Truly a disaster film. Not in the sense of forces of nature wreaking havoc on an unsuspecting populace, but rather an awful movie wreaking havoc on an unsuspecting audience. To give you an indication of how frustrating it was to watch this particular bomb, I'll give you an example quoted during my first pained viewing. If given the choice of watching this movie for a second time and, say, boiling myself, I'm afraid to say the choice would not be an immediate one. But rather than simply ranting ""ad peliculam"" with lousy one-liners, I'm going to get specific as to why exactly my friends and I panned this particular film.<br /><br />To start this off, I like low-budget horror flicks. I even like artsy, low-budget horror flicks. I liked ""Cold Hearts"", ""Midnight Mass,"" ""Jugular Wine,"" etc. Films that were ambitious and daring, even if they were lacking in production value, execution and even acting. Generally, an interesting premise, unusual camera technique or merely just a well done scene or two will save a movie that is running a little rough around the edges. With these provisos in mind, I would like to say conclusively that I hated ""The Wind.""<br /><br />The movie was probably most disappointing in the sense that it was incredibly frustrating to watch. From the actions of the main characters, to the flow (?) of the plot, to the big portents hinted at by the opening which ultimately aspired to dust (and did not even attach themselves logically to what transpired in the remainder of the film, and left the viewer, expecting something more, with a sense of much ado about nothing). The dialogue was spotty at best, woodenly delivered and completely unrealistic. By this I mean, no one in any of the situations that the characters were in would have reacted the way the characters did, or said the things that they said in the way that they said them. There was an obvious lack of vision and direction that would have corrected this problem. <br /><br />Character interaction and development was abysmal. Claire, the ""lambent sex goddess,"" or so the aggravating, passive-aggressive lamesters in the movie thought, was so overt in her manipulations she may as well have pulled a gun on the characters. Nevertheless, she was the shining high point of the film. The other main characters (with the exception of Mick's Milfy Mom, who was not terrible) are so indistinct that they may as well have been portrayed by the same actor. Let's see if I missed anything: borderline personality, co-submissive goons with profound feelings of sexual confusion and inadequacy, spurred to fits of puerile rage through the artless orchestrations of a loose-lipped bimbette-suddenly-and-unmasterfully-turned-Caligari. No, I think that about covers it.<br /><br />Lack of scope was also problematic. How did those involved with the making of this film expect the casual viewer to derive that this was the beginning of the end of the world from this amateurish, unbelievable, poorly-portrayed lust pentagon (well, what would you call it?) that occurred largely in the woods in the middle of nowhere? There were no witnesses to the ""atrocities"" presented. There were no witnesses anywhere in this film.<br /><br />The believability problems stemming from this lack of attention to detail were rife even from the point where the plot begins to sicken. Case-in-point: If that guy Bob took that route through the woods to come home from the gym, and here's the key, ****every day****, there's a jolly good chance that someone else would have been around to see something at some point afterwards while the perpetrators argued vociferously about the crime scene. One would think that with the murder of a young man in the woods, said town would have been in an uproar, the characters would have been questioned, etc. But instead, there wasn't a witness in sight (other than Earl, the closet psychopath with no inner monologue). We suggest that there be no witnesses *for* this film, either. <br /><br />As for the quasi-homosexual meanderings present, I don't have a problem with those either. It's not as if they came as a surprise, considering we had been shouting as to the closet case stati of most of the male characters since the second scene. Again, not problematic in and of itself, but thrown in for the wrong reasons. It was utterly unnecessary, thrown in for pure ""shock"" and/or ""dangerous art"" value, and neither shocking nor dangerously artistic from any perspective. What we had instead was an awkward attempt to redeem a boring, clumsy movie with a boring, clumsy plot. The poorly hinted-at sexual tension, which was only hinted at heavy-handedly in anticipation of this flaccid snogging scene, only pushed this film further down the totem pole from ""mediocrity warranting criticism"" to ""film sucking so bad that it lacks the inherent grace to suck enough to properly mock and harangue.""<br /><br />So it is with most of the film, a lot of artistic fumbling, very little meat and a lot of aggravation. It's not that we don't get it. Oh, we got it, alright. We just don't want it. Look, the very fact that we were cheering the bludgeoning in the final scene as the *only* tableau that made sense on its face is an indication that something was terribly wrong with this film. Rather than moving briskly along as its name implies, this movie oozed languidly forward like the sweat trail working it's way down the side of your nose while your hands are full. Argh. That sensation pretty well sums up the gut-wrenching frustration realized while watching this train wreck. There is no breath of fresh air with regard to this movie, only the stale miasma of bad ideas poorly realized, putrefying before coming to fruition.",negative
"This movie was never intended as a big-budget film but was a cute little picture that pretty much anyone could enjoy. It probably won't change your life, but it is certainly charming and engaging.<br /><br />Clifton Webb plays a curmudgeon (that's certainly not new) who has a TV. However, his ratings are failing and he is worried about cancellation. So he decides maybe he is too out of touch with kids--as he and his wife have none of their own. So, he volunteers as a scoutmaster and regrets doing this almost immediately! Remember, he IS a curmudgeon and doesn't particularly like kids. To make things worse, one of the kids really likes him and follows him like a lost puppy. No matter how indifferently he acts towards the kid, the child just wants to spend time with him! The kid is cute and nearly steals the show all by himself! <br /><br />What happens next and the twists and turns of the movie are something you'll just have to find out for yourself. Understand that this is a light, cute and yet not cloying movie you'll probably enjoy.",positive
"Tenacious D: in The Pick of Destiny tells the fictional tale of the formation of the band Tenacious D and their quest to find the Pick of Destiny, a guitar pick with supernatural powers made from the tooth of Satan himself (played by Dave Grohl). JB (Jack Black) and KG (Kyle Gass), joined together by fate, must travel to the Rock N' Roll Museum and steal the Pick of Destiny to become the greatest band on earth. The movie is hilarious and delivers non-stop laughs. Jack Black and Kyle Gass work perfectly together, having been real life friends and co-workers for over 20 years. The film is in part, a musical. All (or most) of the music was written and performed by The D. All of the songs are new material and many of them are classic. The soundtrack is definitely worth checking out. This film will be mostly appreciated by fans of Tenacious D, but if you are not a fan of The D, I still think you will enjoy the movie. If you are a fan of the D, then you must see this movie. The acting isn't as bad as you may think, and the laughs and crudeness never stop coming. I highly recommend this movie to anyone looking to get their socks rocked off and laugh as hard as they have laughed in a long time. Look out for cameos by Dave Grohl, Ronnie James Dio, Meatloaf, Ben Stiller, Amy Poehler, Tim Robbins, John C. Reilly, and Neil Hamburger. Also, stay tuned for an extra scene after the credits.",positive
"Who ever put that review as 'of bad taste' is not all quite there... its so funny, genius and fantastic you could watch it until your eyes are square! not to mention the rest of the work he has done on the rest of the series...all is as good as Morris' standards. if you think that it is 'awful', 'distasteful' or 'sick' then i can only think of one thing to say to you: ""go to hell."" thanks. it had to be said! i think that the way that so many people complaining was a complete joke...i would like to make a shout out to all the people that actually did that: ""haven't you got anything better to do with your time? what are you trying to prove?"" thanks for reading my heart-filled review on the matter...cheers",positive
"I just watched this film 15 minutes ago, and I still have no idea what I just watched. Mainly I think it's a film about an internet S&M ""star"" of CD Roms that are about as realistic as flash cartoons online. She's murdered by someone, which causes her sister and a crack team of 2 FBI agents to investigate the death. The local homicide division of Big City, USA is also investigating, though most of his work comes by the way of oogling the CD ROMs which he claims are as realistic ""as the real thing"". I know. Wow.<br /><br />Michael Madsen is the only one in the film that has any kind of credits behind him. He's in the film for about 15 minutes, and half of that is him banging the main girl for seemingly no apparent reason. I won't even explain the ending, because quite frankly I can't make it out myself. But before the final scene, we're treated to a 3 or 4 minute montage of everything in the film. Honestly, they could have ran that then the final scene and it would have been the same effect with the cross eyed direction and all.<br /><br />All in all, stay away from this film. I got it because I love bad movies and I love Michael Madsen. I really could have used that 80 some minutes on something else and have been more satisfied. Like, playing that game with a knife where you jab at your hand repeatedly. That for 80 minutes would be much more entertaining.",negative
