review,sentiment
"Apart from Helen Bonham Carter, there is nothing worthy about this movie....And the surprise ending?! The thought of a sequel is even more annoying. Save your money, wait for the video and ignore that too.",negative
"There's nothing wrong with a popcorn movie to keep you off the streets. It's just that some are better than others. This is very poor. The acting is awful, the script dire; and the special effects overrated.Why does Hollywood treat it's audience with such contempt? And why have they made a sequel?",negative
"The feel of this movie was amazing. Adam Sandler's performance was very inspiring. As he played a very rattled and fragile character, he took his ability to the very edge and really worked the role. His character was really interesting. I can see myself reading the script for this movie and not being half as interested in the part as Sandler made me. For someone who plays primarily comedy roles, he pulled off a serious role with what seemed to be his own quirks and input. I especially loved the scene in which Adam and Don's characters rode the motorized scooter around the city. I familiarized with the moment, because it seemed like Don was witnessing one thing Adam does to get away from it all. With his video games, music, and many other things he does to keep him from thinking about the past, riding his scooter with his headphones on seemed like an escape from his thoughts. This movie is definitely worth the watch.",positive
"Watching Marlen Brando on screen is like watching a master carpenter chiseling intricate details into a piece of mahogany. Brando's acting is the ONLY thing that makes this movie watchable. The plot is inane and laughable (not comic). The other big name actors seem to be making desperate attempts to give the characters they portray some modicum of humanity... these characters have the humanity of wet cardboard. Everything about the technical side of this film is either mediocre or just plain awful. The director throws freeze-frame and slow-motion shots about with impunity. The incidental music is cartoonish and destroys any hint of dramatic effect. It's not something I really look for in a movie, but even the wardrobe was way off. The venerable Brando couldn't take focus away from the awful rags they had him decked out in. I've heard this movie called ""David Lynch-esquire"" and ""irreverently funny""... it is neither. David Lynch films are borne of wicked creativity - this film was in no way creative. And don't confuse irreverence with stupidity.",negative
"$25,000 Pyramid Clues: Deep Blue Sea. Tremors. Slither. Eight Legged Freaks.Pyramid Category: Movies that were funnier and more thrilling than Snakes on a Plane.Hell, with that definition I'd have to include the relatively harrowing journey of Ted and Elaine in Airplane! as superior to Snakes in both laughs and thrills.The sad truth is that this isn't even close to the mother of all unintentionally intentional funny snake movies: Anaconda! Besides the never to be seen again casting of JLo-Cube-O.Wilson-Stoltz-Wuhrer in the same flick, you had Jon Voight pulling off the all-time cinematic heist. His final scene alone represents everything SOAP tried and failed to do as a ""so-ludicrous-it's-fun"" movie.In the end, Snakes on a Plane is definitive proof that studio execs and fanboys make the worst collaborators possible. Every big scene had been discussed and dissected so much the last year, all that was left to amuse by opening night was the amount of fanboy flop-sweat that had to be mopped up at my theater. I heard more forced laughs here than at a studio taping for ""According to Jim"".",negative
"""Still Crazy"" is without a doubt the greatest rock comedy of all-time. It has been erroneously compared to ""This Is Spinal Tap"", which it has no relation to. ""Spinal Tap"" is a satire (and, quite frankly, not a very good one, in spite of it's ""outing"" of many rock clichés). Unlike ""Tap"", ""Still Crazy"" is populated by great actors, great songs and great human situations. You CARE about the people in ""Still Crazy"". That's all that matters. Oh, yeah, the music's pretty damn good, too, written by Mick Jones of Foreigner and Chris Difford of Squeeze. American audiences were already familiar with Stephen Rea (The Crying Game), but would only later become familiar with Bill Nighy (Underworld, Love Actually, Pirates Of The Caribbean II) and Timothy Spall (the Harry Potter movies).",positive
"In the early to mid 1970's, Clifford Irving proposed to write the ultimate biography of Howard Hughes,claiming to have spent months preparing for the book,engaged in interviews with the reclusive millionaire. When all of this turned out to be false,Irving was accused of perjury & spent several years behind bars (although always admitting his findings were accurate). Flash forward to 20001,several months prior to September 11th, a book,entitled 'Forbidden Love' (published in the U.S. as 'Honor Lost:Love And Death In Modern Day Jordan') by a previously unknown author by the name of Norma Khouri,a woman from Jordan,who reported on the death by mercy killing of her best friend Dalia,due to the fact that Dalia,being from a devout Muslim background,was dating a Christian man. It,like Irving's biography on Hughes was revealed as a potential hoax. Australian film maker,Anna Broinowski attempts to delve into the quagmire that was Khouri's attempts to clear herself of the lie(s). Over the time frame of 104 minutes,the film attempts to reveal is Norma Khouri telling the truth,or is she just a compulsive liar,with an agenda/vendetta of her own?. Interview footage with those who know/knew her (including an ex husband,her publisher,and others) tell their side of the story. This is a toothsome,well produced documentary that manages to point many fingers at just as many potential guilty parties. Not rated,but contains pervasive bad language & a re-enactment of the grisly murder scene,played over a few times (but nothing nearly as graphic & disturbing as what one would see in the latest torture porn epic,such as Saw:Part 84). Not a good choice for the little ones.",positive
It's a good movie maybe I like it because it was filmed here in PR. The actors did a good performance and not only did the girls be girlish but they were good in fighting so it was awsome! The guy is cute too so it's a good match if you want to the guy or the girls.,positive
"Movie didn't have much plot and was uninteresting. Basically you spend a lot of time watching people paint. Also it's very difficult to hear or understand the dialogue -- partially because of the accents, but also because words are mumbled.",negative
"Did they use their entire budget paying the porno stars or what?!?Sound effects, background music and the editing in general was so bad you'd think some 12-year-old wanna-be made the film.Most of the acting was good considering the script... the ""innocent virgin"" played her part really well.The mutants look really cool and this actually could have been a really cool flick with the right brain behind the wheel... but, unfortunately for all involved, that's not the case.Turn Left was made better than this movie and those guys didn't even have any money!!! Good thing I didn't rent the movie myself!",negative
