title,metascore,userscore,summary
The Godfather,100,9.2,"
                        Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are engaged. Based on Mario Puzo's best-selling novel and featuring career-making performances by Al Pacino, James Caan and Robert Duvall, this searing and brilliant film garnered ten Academy Award nominations, and won three including Best Picture of 1972. [Paramount Pictures]
                        "
Citizen Kane,100,8.4,"
                        Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.
                        "
Rear Window,100,8.7,"
                        A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.
                        "
Casablanca,100,8.8,"
                        A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.
                        "
Boyhood,100,7.4,"
                        Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, Boyhood charts the rocky terrain of childhood like no other film has before and is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. [IFC Films]
                        "
Three Colors: Red,100,8.5,"
                        Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a seemingly unrelated story of jealousy and betrayal unfolds. Red is an intimate look at forged connections and a splendid final statement from a remarkable filmmaker at the height of his powers. [Criterion]
                        "
Vertigo,100,8.6,"
                        Vertigo creates a dizzying web of mistaken identity, passion and murder after an acrophobic detective rescues a mysterious blonde from the bay. [Universal Pictures]
                        "
Notorious,100,7.9,"
                        A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?
                        "
Singin' in the Rain,99,8.7,"
                        A silent film production company and cast make a difficult transition to sound.
                        "
City Lights,99,8.9,"
                        The Tramp (Charlie Chaplin) struggles to help a blind flower girl he has fallen in love with.
                        "
Moonlight,99,7.1,"
                        Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.
                        "
Intolerance,99,7.1,"
                        The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.
                        "
Pinocchio,99,8.1,"
                        A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.
                        "
Touch of Evil,99,8.4,"
                        This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorable supporting cast including Janet Leigh as Heston's inquisitive wife, Akim Tamiroff as a seedy underworld leader, Zsa Zsa Gabor and Marlene Dietrich as an enigmatic gypsy complete this fascinating drama engulfed in haunting cinematography and a magnificently eerie score by Henry Mancini.
                        "
Au hasard Balthazar,98,7.1,"
                        Robert Bresson's 1966 film focuses on the story of the donkey Balthazar and the people around him.
                        "
The Lady Vanishes,98,7.7,"
                        While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.
                        "
The Treasure of the Sierra Madre,98,8.1,"
                        Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
                        "
Pan's Labyrinth,98,8.6,"
                        Following a bloody civil war, young Ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. Armed with only her imagination, Ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. But soon, the lines between fantasy and reality begin to blur, and before Ofelia can turn back, she finds herself at the center of a ferocious battle between good and evil. [Warner Bros.]
                        "
Some Like It Hot,98,8.4,"
                        When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.
                        "
North by Northwest,98,8.0,"
                        A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.
                        "
Hoop Dreams,98,7.9,"
                        Two inner-city Chicago boys with hopes of becoming professional basketball players struggle to become college players.
                        "
Rashomon,98,8.6,"
                        The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.
                        "
All About Eve,98,8.7,"
                        An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.
                        "
Jules and Jim,97,6.3,"
                        Decades of a love triangle concerning two friends and an impulsive woman.
                        "
The Wild Bunch,97,7.4,"
                        An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.
                        "
My Left Foot,97,8.3,"
                        True story of cerebral palsied Christy Brown, who overcame his illness and poverty to become an accomplished artist, poet and writer. 
                        "
The Third Man,97,8.5,"
                        Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.
                        "
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,97,8.4,"
                        Through a series of military and political accidents, a psychotic general - U.S. Air Force Commander Jack D. Ripper (Hayden) - triggers an ingenious, irrevocable scheme to attack Russia's strategic targets with nuclear bombs. The U.S. President (Sellers) and Dr. Strangelove (Sellers), a wheelchair-bound nuclear scientist who has bizarre ideas about man's future, work with the Soviet premier in a desperate effort to save the world.
                        "
"Quo Vadis, Aida?",97,8.0,"
                        Bosnia, July 11th 1995.  Aida is a translator for the United Nations in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people - rescue or death? Which move should she take? [Super LTD]
                        "
Gone with the Wind,97,8.3,"
                        A Southern belle struggles with the devastation of the Civil War and Reconstruction. This classic won 8 Academy Awards, including Best Picture.
                        "
"4 Months, 3 Weeks and 2 Days",97,7.9,"
                        During the final days of communism in Romania, two college roommates Otilia and Gabita are busy preparing for a night away. But rather than planning for a holiday, they are making arrangements for Gabita's illegal abortion and unwittingly, both find themselves burrowing deep down a rabbit hole of unexpected revelations. [IFC Films]
                        "
Psycho,97,8.9,"
                        A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man, Norman Bates (Anthony Perkins) under the domination of his mother.
                        "
Battleship Potemkin,97,8.3,"
                        In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.
                        "
A Streetcar Named Desire,97,8.2,"
                        Disturbed Blanche DuBois (Vivien Leigh) moves in with her sister in New Orleans and is tormented by her brutish brother-in-law (Marlon Brando) while her reality crumbles around her.
                        "
The Maltese Falcon,97,7.9,"
                        A private detective (Humphrey Bogart) takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.
                        "
American Graffiti,97,7.5,"
                        A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.
                        "
Dumbo,96,7.7,"
                        This simple animated tale is set in a circus and spotlights a baby elephant, Dumbo, who is mocked and ridiculed because his ears are too big, only to be assisted by a mouse to achieve his full potential.
                        "
Roma,96,7.7,"
                        Roma follows Cleo (Yalitza Aparicio), a young domestic worker for a family in the middle-class neighborhood of Roma in Mexico City. Delivering an artful love letter to the women who raised him, Cuarón draws on his own childhood to create a vivid and emotional portrait of domestic strife and social hierarchy amidst political turmoil of the 1970s. [Netflix]
                        "
Parasite,96,8.7,"
                        Meet the Park Family: the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Be it chance or fate, these two houses are brought together and the Kims sense a golden opportunity. Masterminded by college-aged Ki-woo, the Kim children expediently install themselves as tutor and art therapist, to the Parks. Soon, a symbiotic relationship forms between the two families. The Kims provide “indispensable” luxury services while the Parks obliviously bankroll their entire household. When a parasitic interloper threatens the Kims’ newfound comfort, a savage, underhanded battle for dominance breaks out, threatening to destroy the fragile ecosystem between the Kims and the Parks. [Neon]
                        "
Ran,96,8.4,"
                        An adaptation of William Shakespeare’s King Lear, Ran considers the disastrous consequences of Lord Hidetora Ichimonji’s (Tatsuya Nakadai) decision to split his kingdom among his three sons.
                        "
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",96,7.4,"
                        In 1969, during the same summer as Woodstock, a different music festival took place 100 miles away. More than 300,000 people attended the summer concert series known as the Harlem Cultural Festival. It was filmed, but after that summer, the footage sat in a basement for 50 years. It has never been seen. Until now. [Sundance]
                        "
The Shop Around the Corner,96,6.8,"
                        Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.
                        "
12 Angry Men,96,9.0,"
                        12 Angry Men, by Sidney Lumet, is a behind-closed-doors look at the American legal system. This iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room.
                        "
