epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.7732934355735779,0.59150829911232,0.325,0.675,0:00:00.026386
2,0.5211812108755112,0.6275213360786438,0.675,0.675,0:00:00.018976
3,0.5797023177146912,0.5704484283924103,0.675,0.675,0:00:00.018758
4,0.5040353983640671,0.5355083346366882,0.675,0.675,0:00:00.019048
5,0.5153543055057526,0.5034354329109192,0.675,0.75,0:00:00.019307
6,0.4562264084815979,0.4886312186717987,0.7250000000000001,0.85,0:00:00.018288
7,0.4828871935606003,0.408179834485054,0.85,0.875,0:00:00.017802
8,0.5381490588188171,0.44498084485530853,0.8000000000000002,0.875,0:00:00.018932
9,0.4097796082496643,0.4903394728899002,0.875,0.875,0:00:00.018052
10,0.434830904006958,0.3910409212112427,0.85,0.875,0:00:00.018895
11,0.3930152505636215,0.3120877295732498,0.85,0.875,0:00:00.019244
12,0.37445251643657684,0.28166526556015015,0.925,0.925,0:00:00.018447
13,0.29386597871780396,0.2783505469560623,0.9500000000000001,0.9,0:00:00.018513
14,0.2520235925912857,0.3234485313296318,0.975,0.875,0:00:00.018125
15,0.2378934621810913,0.27003657817840576,0.875,0.875,0:00:00.018507
16,0.323087602853775,0.1765892431139946,0.875,0.975,0:00:00.018619
17,0.18518765270709991,0.19439031183719635,0.975,1.0,0:00:00.018519
18,0.2472691461443901,0.20326827466487885,0.975,1.0,0:00:00.018306
19,0.1780247613787651,0.13359609246253967,0.975,1.0,0:00:00.018186
20,0.12731601670384407,0.11464711278676987,1.0,0.975,0:00:00.019147
21,0.2208726890385151,0.19661206752061844,0.9500000000000001,0.925,0:00:00.018071
22,0.20383141934871674,0.12541414052248,0.925,1.0,0:00:00.017809
23,0.1422102116048336,0.1013883613049984,0.925,1.0,0:00:00.017973
24,0.10575244203209877,0.068131223320961,1.0,1.0,0:00:00.018271
25,0.0945119671523571,0.06938767060637474,1.0,1.0,0:00:00.018912
26,0.06700096093118191,0.06080760434269905,1.0,1.0,0:00:00.018621
27,0.07852182537317276,0.08221867494285107,1.0,1.0,0:00:00.017887
28,0.07211259752511978,0.07784324884414673,1.0,1.0,0:00:00.018353
29,0.05262461118400097,0.04408179223537445,1.0,1.0,0:00:00.018426
30,0.059041958302259445,0.042099082842469215,1.0,1.0,0:00:00.018677
31,0.044030383229255676,0.04028044454753399,1.0,1.0,0:00:00.018457
32,0.036874511279165745,0.040938226506114006,1.0,1.0,0:00:00.018521
33,0.052223753184080124,0.03572963643819094,1.0,1.0,0:00:00.017666
34,0.03375555668026209,0.027601156383752823,1.0,1.0,0:00:00.018318
35,0.02910923771560192,0.050580933690071106,1.0,1.0,0:00:00.019050
36,0.039007216691970825,0.03424137271940708,1.0,1.0,0:00:00.017930
37,0.04711657389998436,0.0264666099101305,1.0,1.0,0:00:00.018465
38,0.030064275488257408,0.026031835936009884,1.0,1.0,0:00:00.018314
39,0.03185384999960661,0.021497687324881554,1.0,1.0,0:00:00.017898
40,0.020122881047427654,0.014515038579702377,1.0,1.0,0:00:00.082415
41,0.016886213794350624,0.016181735321879387,1.0,1.0,0:00:00.019409
42,0.02400161325931549,0.013964136131107807,1.0,1.0,0:00:00.018218
43,0.015063190832734108,0.01814262568950653,1.0,1.0,0:00:00.017959
44,0.02952010091394186,0.011915496084839106,1.0,1.0,0:00:00.018551
45,0.020880304276943207,0.012432276736944914,1.0,1.0,0:00:00.018702
46,0.01333574065938592,0.016930936835706234,1.0,1.0,0:00:00.017968
47,0.015587801113724709,0.012643866706639528,1.0,1.0,0:00:00.018594
48,0.021481464616954327,0.009048338048160076,1.0,1.0,0:00:00.017675
49,0.015002369415014982,0.010426562279462814,1.0,1.0,0:00:00.020163
50,0.011023844126611948,0.01314843911677599,1.0,1.0,0:00:00.019331
51,0.01115209236741066,0.007993748760782182,1.0,1.0,0:00:00.018304
52,0.010674551595002413,0.010125624481588602,1.0,1.0,0:00:00.017830
53,0.012176543474197388,0.010087507776916027,1.0,1.0,0:00:00.018512
54,0.011368850246071815,0.012917357496917248,1.0,1.0,0:00:00.018390
