epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.7046631276607513,0.653759092092514,0.47500000000000003,0.875,0:00:01.083416
2,0.6474274396896362,0.6383750140666962,0.9,0.875,0:00:01.023793
3,0.6322223544120789,0.6505568623542786,0.85,0.875,0:00:01.006584
4,0.6336415112018585,0.6297189891338348,0.75,0.825,0:00:01.016887
5,0.6374436318874359,0.6574565470218658,0.6,0.7250000000000001,0:00:01.024115
6,0.6686739921569824,0.6303755342960358,0.65,0.775,0:00:01.021313
7,0.6296546459197998,0.6306744515895844,0.825,0.825,0:00:01.019038
8,0.6285242736339569,0.6878767907619476,0.775,0.825,0:00:01.019898
9,0.6654072105884552,0.6298432946205139,0.8000000000000002,0.85,0:00:01.031344
10,0.6335249841213226,0.6271629631519318,0.775,0.825,0:00:01.021900
11,0.630680650472641,0.6270358860492706,0.8000000000000002,0.875,0:00:01.026031
12,0.6352172791957855,0.6318898499011993,0.875,0.825,0:00:01.039982
13,0.6278678774833679,0.6327790915966034,0.7250000000000001,0.775,0:00:01.032957
14,0.6283129751682281,0.629282534122467,0.775,0.75,0:00:01.018669
15,0.6319795250892639,0.6281117796897888,0.8000000000000002,0.775,0:00:01.023419
16,0.647827535867691,0.6285501420497894,0.75,0.775,0:00:01.022749
17,0.6312609612941742,0.6305272877216339,0.825,0.825,0:00:01.013091
18,0.6315627992153168,0.6332435607910156,0.875,0.8000000000000002,0:00:01.023817
19,0.6302209496498108,0.6296693384647369,0.8000000000000002,0.875,0:00:01.025104
20,0.6311125755310059,0.6286014318466187,0.875,0.875,0:00:01.030816
21,0.6296142935752869,0.6313430368900299,0.9,0.9,0:00:01.029566
22,0.6284940242767334,0.6286883652210236,0.875,0.875,0:00:01.018110
23,0.631444126367569,0.6311583817005157,0.9,0.85,0:00:01.022384
24,0.6296789348125458,0.6314641535282135,0.9,0.9,0:00:01.029482
25,0.6300047934055328,0.6314060986042023,0.85,0.875,0:00:01.036814
