epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,5.312930345535278,2.8437799215316772,0.425,0.35,0:00:00.085105
2,1.9154266938567162,0.5905884504318237,0.55,0.625,0:00:00.061239
3,1.994085967540741,1.0083131194114685,0.5,0.675,0:00:00.060728
4,1.4661545157432556,1.32242089509964,0.55,0.675,0:00:00.060316
5,2.2794342637062073,0.7693520486354828,0.625,0.675,0:00:00.061999
6,0.9852695465087891,0.7170799672603607,0.525,0.675,0:00:00.060106
7,2.8061981201171875,0.6250942349433899,0.47500000000000003,0.675,0:00:00.059870
8,1.7676677703857422,0.6685644090175629,0.65,0.675,0:00:00.061173
9,1.2056087851524353,0.6775762438774109,0.525,0.675,0:00:00.060107
10,2.240936279296875,0.6847087740898132,0.6,0.675,0:00:00.060092
11,0.9161505997180939,0.6915402114391327,0.6,0.675,0:00:00.059450
12,0.7354580461978912,0.6914362609386444,0.45,0.675,0:00:00.059426
13,0.6962956488132477,0.6892645955085754,0.5,0.675,0:00:00.059185
14,0.7036382555961609,0.692322313785553,0.6,0.675,0:00:00.058670
15,0.8782700002193451,0.6909895539283752,0.525,0.675,0:00:00.060071
16,0.7226138412952423,0.6927253305912018,0.5,0.675,0:00:00.059214
17,0.6797084510326385,0.6928139925003052,0.7,0.675,0:00:00.059047
18,0.682744711637497,0.6928597092628479,0.575,0.675,0:00:00.059300
19,0.7627508640289307,0.692835807800293,0.525,0.675,0:00:00.059111
20,0.8951161205768585,0.6928889751434326,0.65,0.675,0:00:00.063307
21,0.7035737335681915,0.6928614675998688,0.575,0.675,0:00:00.059161
22,0.6945879757404327,0.6928899884223938,0.625,0.675,0:00:00.059159
23,0.66115403175354,0.6929466128349304,0.7,0.675,0:00:00.059016
24,0.6859675645828247,0.6928429901599884,0.55,0.675,0:00:00.058946
25,0.6814205646514893,0.6928511261940002,0.6,0.675,0:00:00.059399
26,0.7354306578636169,0.6928031742572784,0.525,0.675,0:00:00.059361
27,0.7587944567203522,0.6928064227104187,0.575,0.675,0:00:00.058802
28,0.6863884031772614,0.6928417682647705,0.575,0.675,0:00:00.058722
29,0.6659053266048431,0.6928301453590393,0.575,0.675,0:00:00.058859
30,0.6854160726070404,0.692795991897583,0.7250000000000001,0.675,0:00:00.059807
31,0.6980006396770477,0.6927963495254517,0.625,0.675,0:00:00.059061
32,0.6916581392288208,0.6917235851287842,0.575,0.675,0:00:00.058916
33,0.6918260455131531,0.6927792131900787,0.65,0.675,0:00:00.058734
34,0.6923955380916595,0.6915581822395325,0.575,0.675,0:00:00.059066
35,0.6893749237060547,0.6914644837379456,0.6,0.675,0:00:00.059698
36,0.6943873465061188,0.691324383020401,0.6,0.675,0:00:00.059249
37,0.692308783531189,0.6926466524600983,0.525,0.675,0:00:00.059014
38,0.6815735697746277,0.6925873160362244,0.675,0.675,0:00:00.059644
39,0.9660282135009766,0.6908573806285858,0.6,0.675,0:00:00.062455
40,0.6902950704097748,0.6926098763942719,0.675,0.675,0:00:00.059636
41,0.6800783276557922,0.6925047039985657,0.6,0.675,0:00:00.059222
