epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.642752799093723,0.6609582722187043,0.6325,0.525,0:00:06.223194
2,0.5204467670619489,0.479361854493618,0.765,0.775,0:00:05.985620
3,0.4308247029036284,0.4841804876923561,0.8025,0.775,0:00:05.992507
4,0.39040268033742914,0.47990340143442156,0.8325,0.8000000000000002,0:00:05.863179
5,0.3530796076357364,0.42063157707452775,0.8575,0.825,0:00:06.024293
6,0.3279551457986237,0.41349536553025246,0.8525,0.8000000000000002,0:00:05.821899
7,0.31518399460241187,0.407880836725235,0.865,0.8000000000000002,0:00:05.992092
8,0.31077893800102174,0.4224013932980597,0.865,0.775,0:00:06.126908
9,0.26195243318565203,0.4144628560170531,0.9,0.75,0:00:05.995348
10,0.2589979878487065,0.4111137516796589,0.8875,0.825,0:00:05.934400
11,0.25621362577192475,0.44153893291950225,0.885,0.8000000000000002,0:00:06.079678
12,0.23663715916220102,0.4491524636745453,0.9225,0.775,0:00:06.136445
13,0.22028688776306804,0.44153005946427576,0.915,0.8000000000000002,0:00:05.928416
14,0.2190088238270255,0.4423008791171015,0.9075,0.8000000000000002,0:00:05.928734
15,0.19754816524859056,0.5019454639405012,0.9325,0.775,0:00:05.969267
16,0.17583599800476804,0.4676890201866627,0.9325,0.825,0:00:06.035660
17,0.14784066980006177,0.4821700208354741,0.9500000000000001,0.825,0:00:06.119032
18,0.13987431412737356,0.4779664447531105,0.945,0.8000000000000002,0:00:06.002468
19,0.11510035393235737,0.5328555930405855,0.9525,0.8000000000000002,0:00:05.899612
20,0.11321310999774145,0.5114226747304202,0.9575,0.825,0:00:05.925848
21,0.09480099341599273,0.5605017777532338,0.9725,0.825,0:00:05.761289
22,0.08094303162004508,0.6163242129608988,0.9775,0.85,0:00:05.927285
23,0.06080569406185531,0.5764891774393619,0.98,0.875,0:00:05.815380
24,0.061578235155775485,0.5790834779385478,0.9775,0.825,0:00:05.985290
25,0.059937328017024324,0.5519033543932892,0.98,0.85,0:00:06.081874
