epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.6861811876296997,0.6232104301452637,0.45,0.65,0:00:01.087726
2,0.5788320600986481,0.6194867193698883,0.675,0.675,0:00:01.016398
3,0.6069267690181732,0.5998343527317047,0.675,0.675,0:00:01.030681
4,0.5713410377502441,0.5465218126773834,0.675,0.675,0:00:01.016167
5,0.5976985394954681,0.5906087160110474,0.675,0.675,0:00:01.009309
6,0.4656379520893097,0.5459574460983276,0.675,0.675,0:00:01.018060
7,0.5218474119901657,0.5270005762577057,0.675,0.675,0:00:01.018334
8,0.5743490904569626,0.5429762303829193,0.7,0.7,0:00:01.007909
9,0.48845285177230835,0.5402500927448273,0.7,0.7250000000000001,0:00:01.011990
10,0.5412794798612595,0.4646185636520386,0.75,0.7250000000000001,0:00:01.017383
11,0.47568967938423157,0.4563550502061844,0.7250000000000001,0.8000000000000002,0:00:01.026897
12,0.4983692914247513,0.4449058324098587,0.75,0.875,0:00:01.022811
13,0.44540223479270935,0.415365532040596,0.85,0.875,0:00:01.018193
14,0.4046669453382492,0.4278493970632553,0.825,0.9,0:00:01.023884
15,0.4120764136314392,0.4167289584875107,0.9,0.875,0:00:01.035998
16,0.43925581872463226,0.35947583615779877,0.875,0.9,0:00:01.026207
17,0.39577288925647736,0.3768467307090759,0.9,0.9,0:00:01.022678
18,0.3865928649902344,0.37940026819705963,0.9,0.9,0:00:01.019836
19,0.38682882487773895,0.3464885652065277,0.875,0.9,0:00:01.031314
20,0.31602147221565247,0.3208172172307968,0.875,0.9,0:00:01.029682
21,0.35851769149303436,0.3648691326379776,0.9,0.9,0:00:01.024699
22,0.3452024608850479,0.28264079988002777,0.9,0.9,0:00:01.019511
23,0.3084385395050049,0.32389800250530243,0.925,0.925,0:00:01.025187
24,0.31130170822143555,0.309383749961853,0.925,0.925,0:00:01.018574
25,0.30853183567523956,0.2679050862789154,0.9500000000000001,0.9500000000000001,0:00:01.021109
