epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.3860834996756801,0.3772831632066524,0.8296250000000001,0.8362,0:10:09.337015
2,0.36652610929601825,0.366646160297096,0.839125,0.8374,0:10:10.107373
3,0.36012111113619666,0.37517860142746945,0.840825,0.8386,0:10:08.106980
4,0.3540106271834644,0.3592459946868945,0.8442,0.8446,0:10:09.143016
5,0.34825786098764194,0.3601954026229681,0.8472,0.8466,0:10:08.401200
6,0.3413583511826221,0.37096934241564017,0.85125,0.8444,0:10:08.220327
7,0.33444620621505716,0.37242508112397005,0.854025,0.8412,0:10:10.217800
8,0.3301786664722592,0.36725784929785915,0.855275,0.8426,0:10:08.790641
9,0.32212840410048954,0.3752014684954193,0.8614249999999999,0.8372,0:10:07.534093
10,0.3161374343857922,0.37172239379724464,0.862075,0.8498,0:10:08.772441
11,0.30959046890886466,0.3758224585473533,0.8663250000000001,0.8364,0:10:09.065643
12,0.3058763096188625,0.37281472928654386,0.866875,0.8444,0:10:09.273066
13,0.30077224595278795,0.3716056773760356,0.8694,0.8416,0:10:07.760818
14,0.2935745516400819,0.3825953112421091,0.873625,0.8416,0:10:08.370882
15,0.28862894088482416,0.38574067263994394,0.8753,0.8459999999999999,0:10:12.539165
16,0.2846208884817293,0.3872958122814075,0.877925,0.8374,0:10:13.382513
17,0.28065372458938176,0.38415486145464217,0.880675,0.842,0:10:12.486373
18,0.276166484580749,0.3828167632291094,0.884475,0.8446,0:10:13.111728
19,0.27296382917829587,0.39531870504729494,0.8845500000000001,0.838,0:10:11.777158
20,0.27062818173190134,0.38823154625333856,0.885175,0.8404,0:10:08.574157
21,0.26608818905614756,0.3966201314961535,0.88825,0.8404,0:10:07.929567
22,0.2662205305383975,0.39584424631176496,0.88695,0.8362,0:10:09.322460
23,0.26074441395012576,0.4039635227248537,0.88885,0.8346,0:10:08.593805
24,0.26096628466580346,0.4061843272813596,0.890375,0.8292,0:10:08.653692
25,0.2563586249434021,0.4053872956886422,0.8913,0.8372,0:10:06.907828
