epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.36993485197577475,0.3032577457100152,0.844175,0.879,0:16:22.170438
2,0.33149726641725785,0.2917040190098811,0.8633,0.8816,0:16:27.673335
3,0.3183864941923522,0.2968790597901683,0.867225,0.881,0:16:20.796467
4,0.30915479448126526,0.2866559323247059,0.871225,0.8846,0:16:19.730690
5,0.3016963909673292,0.26659078772794503,0.875675,0.893,0:16:20.029228
6,0.29501025053537705,0.2578922428434251,0.877325,0.8966,0:16:23.421973
7,0.2894040662320821,0.24991146033005784,0.881225,0.898,0:16:22.164184
8,0.2833011414807455,0.28202922253112783,0.88475,0.8882,0:15:50.112415
9,0.28068432167216034,0.25443914107861904,0.886975,0.898,0:16:13.350805
10,0.27651542446413047,0.24464738088808938,0.8889000000000001,0.9046,0:16:18.881805
11,0.27330839151881714,0.2443977278045843,0.889975,0.905,0:16:21.043438
12,0.27065748534006756,0.2429884761635913,0.892425,0.9038,0:16:19.090249
13,0.266600351029241,0.23749211799285877,0.895,0.9056,0:16:23.423515
14,0.2664397512043032,0.24969274319733936,0.89665,0.901,0:16:19.217275
15,0.26189731716638154,0.28767706183283576,0.8978500000000001,0.8882,0:16:16.994221
16,0.25936915771904834,0.22710688683231703,0.89965,0.9128,0:16:23.108070
17,0.25702499685793934,0.22399908836770313,0.9024499999999999,0.9146,0:16:18.613945
18,0.2562717666886506,0.2210774440790993,0.902575,0.9138,0:15:48.100157
19,0.25354992188013087,0.23126805549696436,0.903425,0.9164,0:16:13.118054
20,0.25000569265892053,0.2299783300552547,0.905575,0.9184,0:16:14.404250
21,0.2474436609750368,0.22074881993480983,0.908525,0.9196,0:16:14.334957
22,0.24822029476733853,0.2136436257444625,0.909625,0.925,0:16:10.407647
23,0.24593757907287525,0.20873177059240688,0.910325,0.9226,0:16:20.549907
24,0.24092823458932341,0.2226161091415206,0.9128,0.92,0:16:16.522877
25,0.23973742308130488,0.21203264783625822,0.91355,0.9261999999999999,0:16:12.838609
