epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.391254498016834,0.31017781191380933,0.828475,0.872,0:14:35.135840
2,0.33157850060463023,0.29880551130149013,0.85895,0.8774,0:14:27.910343
3,0.32115928050875703,0.2992817652738016,0.861925,0.8792,0:14:29.709390
4,0.3139858463585378,0.2826091415088647,0.8648,0.8862,0:14:27.358720
5,0.30892855322957014,0.2801929329326198,0.867625,0.8854,0:14:30.979154
6,0.30388632281422595,0.2737147673300118,0.870475,0.8898,0:14:28.241860
7,0.3010013139903544,0.2798320734102252,0.871825,0.891,0:14:31.213443
8,0.29811871926784533,0.26961389283655557,0.87275,0.893,0:13:58.312978
9,0.29477181763648974,0.26980953891376025,0.8755999999999999,0.8898,0:14:32.421203
10,0.2914708820223808,0.26450284361649445,0.87635,0.895,0:14:30.909051
11,0.2880447213053703,0.2628554104809548,0.8776,0.8954,0:14:32.503007
12,0.287718714922666,0.2736200685998436,0.8787,0.8844,0:14:32.387432
13,0.28390888141989695,0.26261219913792444,0.88045,0.8972,0:14:28.402506
14,0.282621402961016,0.26898111820600584,0.88165,0.8918,0:14:27.245734
15,0.28043952960371993,0.2541465394815821,0.882725,0.8958,0:14:30.118939
16,0.27659143819808985,0.25596729229400106,0.88395,0.8976,0:14:31.880818
17,0.27560610626935983,0.2503856519225297,0.884925,0.9026,0:14:26.379051
18,0.2744511888742447,0.24880970084363482,0.88535,0.898,0:14:33.463058
19,0.27164499070942427,0.2485200263512363,0.88675,0.9,0:14:36.475479
20,0.26965134736001484,0.24725212441508174,0.8876249999999999,0.8998,0:14:35.637919
21,0.26759624106884017,0.2449100023716878,0.8887,0.903,0:14:00.171033
22,0.26537006480097775,0.24500229503888238,0.8895,0.9034,0:14:34.118659
23,0.26458820206523015,0.23793687249065196,0.890825,0.9054,0:14:28.678024
24,0.2623477885007863,0.24110144979445036,0.890925,0.9018,0:14:29.036308
25,0.2599737434834239,0.23988842717401548,0.891425,0.9032,0:14:31.353567
