epoch,loss_train,loss_eval,f1_train,f1_eval,duration
1,0.695329826611739,0.6705316164690975,0.5325,0.5864,0:01:06.948977
2,0.5999940633773803,0.6487508419972314,0.6775,0.622,0:01:07.847506
3,0.5237888991832732,0.664805240881671,0.75,0.6162,0:01:08.180040
4,0.479889473089805,0.7109727633606858,0.7575,0.6076,0:01:08.248446
5,0.45159976298992444,0.6980555928816458,0.795,0.6166,0:01:08.234867
6,0.41475589114886063,0.810884682615851,0.795,0.5882,0:01:08.181073
7,0.40510032727168155,0.6653990075466742,0.81,0.643,0:01:08.184924
8,0.30644134833262515,0.7451368310269277,0.8925,0.625,0:01:08.303531
9,0.3408196121454239,0.7690317042314323,0.845,0.6238,0:01:08.179092
10,0.29196216280643755,0.7404597802146982,0.89,0.6364,0:01:08.221286
11,0.2549892320082738,0.7342685960280668,0.9125,0.646,0:01:08.253651
12,0.26663680947743934,0.7457787143956327,0.885,0.6422,0:01:08.246106
13,0.21189921291974875,0.7490622101316023,0.9,0.6466,0:01:08.287498
14,0.17885487240094405,0.7813940849273828,0.9575,0.6438,0:01:08.272239
15,0.22762003942177844,0.8231531170902743,0.9075,0.6366,0:01:08.269614
16,0.20318979598008668,0.8090418770814403,0.9225,0.6382,0:01:08.162228
17,0.15934453216882855,0.8233417447205563,0.9500000000000001,0.6426,0:01:08.181384
18,0.15836039242836145,0.830869485428379,0.945,0.6426,0:01:08.290312
19,0.13647061299819213,0.8671925496903198,0.955,0.6376,0:01:08.266648
20,0.1314799668124089,0.9259758646700793,0.96,0.6378,0:01:08.180871
21,0.12643937279398626,0.9288173481157632,0.955,0.6388,0:01:08.222177
22,0.09635530928006539,0.9264941712853255,0.9675,0.6414,0:01:08.283921
23,0.11429080596336955,0.8806977649782873,0.9625000000000001,0.6402,0:01:08.132863
24,0.10453717467876582,0.9459808913006144,0.975,0.6298,0:01:08.172545
25,0.12333746139819807,1.0365556095056474,0.9500000000000001,0.624,0:01:08.248517
