,dim,dispersion_positive,dispersion_negative,distance
0,768,1709003.5246132782,1349561.9525129872,22.70079896971477
1,576,1709429.2347019138,1349942.6712029187,22.701072673003058
2,384,1709368.1670453693,1349906.2339662034,22.701080108952667
3,192,1709093.0527943983,1349720.9749235753,22.701408817080303
4,96,1708547.821926521,1349360.8764822884,22.701762995037225
5,48,1707355.522846251,1348583.4581527293,22.702988558339865
6,24,1704511.4247274671,1346744.7245160541,22.70533894898788
7,12,1697146.345286398,1341955.8644490002,22.713307511669793
8,6,1675997.1618623105,1326899.760173675,22.738131328770454
9,3,1580485.8151428793,1271555.5599433668,22.91835268190052
