,dim,dispersion_positive,dispersion_negative,distance
0,768,1936665.71609703,1245196.8634775174,7.87050086889318
1,576,1936996.311922526,1245415.9367868,7.871883972034326
2,384,1936734.8453037585,1245200.4585312617,7.874028553283799
3,192,1935961.7651324372,1244543.7625139859,7.8800690625485155
4,96,1934236.730033166,1243128.4613512254,7.892990495583719
5,48,1930401.3222988455,1239985.2976979592,7.92155939423813
6,24,1921991.4378132843,1233213.8893164762,7.983277710165684
7,12,1903017.048234745,1217891.7852478297,8.116464037867365
8,6,1853819.4007419876,1179741.0243770282,8.439161637833827
9,3,1710758.1773210056,1074999.8931456932,9.243264704388897
