,dim,dispersion_positive,dispersion_negative,distance
0,768,1780549.3648710442,1511063.841985204,1.2153274942480086
1,576,1781744.9386325267,1512163.911543687,1.1450854302597304
2,384,1781667.1435381826,1512090.3730662165,1.1419918311915516
3,192,1781039.94357536,1511509.8506182902,1.1600188933586595
4,96,1779855.5646690591,1510310.6775304824,1.1896416280229791
5,48,1777580.9076674464,1508216.5446524592,1.226942868034737
6,24,1771273.3279740699,1502218.9561532252,1.3744331470722089
7,12,1759526.7008795892,1490951.3237404306,1.5382996472888175
8,6,1736990.0021079509,1467699.8880273409,1.6008495894758181
9,3,1685935.0164472726,1413827.9034522916,1.3189908447542638
