,dim,dispersion_positive,dispersion_negative,distance
0,768,740.5297101309118,2937.050055065679,3.0358365653848836
1,576,741.4998691718622,2939.71897898092,2.9977637092434533
2,384,741.1722522043518,2939.366510103704,3.008199175732425
3,192,742.405585868235,2939.9330486876347,2.969510029547666
4,96,741.1836926112342,2938.635857018685,3.0199301628362254
5,48,740.2445673785771,2937.163157884659,3.0492878212549552
6,24,740.617521945611,2934.8764208687617,3.0053679742824975
7,12,735.5914178865029,2919.31648578943,3.199554994130214
8,6,736.4210485254339,2890.445380637517,2.9390284044323702
9,3,738.4363472489242,2779.630404758691,2.860214967157309
