,dim,dispersion_positive,dispersion_negative,distance
0,768,1841313.9352717677,1778660.6906854599,23.344326856945436
1,576,1841794.49441936,1779127.7511505322,23.344435338911772
2,384,1841675.7475103268,1779055.8499757443,23.344594198232603
3,192,1841425.7798864169,1778839.5568947447,23.34471896150539
4,96,1840792.3776748674,1778376.4937400438,23.345179251189904
5,48,1839467.4987804345,1777263.1539497091,23.34621919152767
6,24,1836317.1213271113,1774793.3678876245,23.34868967680689
7,12,1828285.512876955,1768427.4651325315,23.35506830588684
8,6,1805837.9900886526,1749138.4199323314,23.37648327990194
9,3,1707621.660311611,1662054.9746080611,23.55977212594658
