,dim,dispersion_positive,dispersion_negative,distance
0,768,2080084.8471833703,1761406.2140849694,7.9082098100134
1,576,2080429.7617623287,1761678.338920118,7.910160983036884
2,384,2080153.8044694928,1761414.6743639433,7.9117830014210275
3,192,2079199.5513479337,1760513.8165320698,7.918288220032017
4,96,2077196.4655317012,1758636.258185921,7.9300533184726145
5,48,2072722.3826169593,1754414.6652641955,7.959053213650966
6,24,2063230.9572691564,1745557.0623435506,8.016581452741468
7,12,2041085.0096848453,1724909.1146787242,8.148785365344244
8,6,1985406.3889464918,1673574.8809609585,8.459310630464264
9,3,1818896.4879604494,1530549.1654686723,9.251511506249676
