,dim,dispersion_positive,dispersion_negative,distance
0,768,2433107.4005526844,1920624.7148139002,11.704243755068475
1,576,2433625.9224122395,1920946.1516891406,11.707232416405093
2,384,2433385.301097366,1920715.0719233747,11.707926448945425
3,192,2432658.5935041425,1919993.1588812717,11.710754970850228
4,96,2430983.9457177897,1918393.2102651142,11.717163629225924
5,48,2427405.3337932904,1914942.7531641286,11.730649833513793
6,24,2419386.993302764,1907245.533242832,11.762039306929138
7,12,2399986.2114752824,1888622.4026695031,11.84213577499646
8,6,2344958.4393289867,1839914.911761685,12.067654718704556
9,3,2200707.2124187914,1708543.9760069095,12.634449735804196
