,dim,dispersion_positive,dispersion_negative,distance
0,768,1846607.7564200338,1474543.957568733,1.1914546656530538
1,576,1848006.7238580121,1475781.2969836462,1.104580652629956
2,384,1847754.0615317798,1475564.6412739316,1.115865024211161
3,192,1847402.652891667,1475146.2242391498,1.1178582722348098
4,96,1845973.4077862622,1473852.0103868518,1.1677819432499486
5,48,1843396.0319260657,1471406.9336943165,1.2188570856718919
6,24,1838039.7548921814,1465957.1625567693,1.3281035165461232
7,12,1826143.0682289964,1454249.1975674513,1.5171474267806018
8,6,1812400.5891704557,1435126.9439286084,1.2482369527474242
9,3,1768678.117161703,1375958.5701334686,1.0195062957630425
