,dim,dispersion_positive,dispersion_negative,distance
0,768,1628460.1167376158,2056546.6468376205,22.8648858185715
1,576,1628916.2813885799,2057076.2454054283,22.86505413263202
2,384,1628829.084961065,2057008.3950192663,22.86505447319482
3,192,1628541.7364544913,2056760.3212293833,22.865389583034542
4,96,1627981.3848856867,2056267.0451906114,22.86580580069301
5,48,1626741.881593864,2055171.8680958482,22.866762172535648
6,24,1623751.213451061,2052484.9086233454,22.869182553328198
7,12,1616274.7913827552,2045782.9680393166,22.876083135826555
8,6,1594091.6902125778,2024673.578526509,22.898669865526337
9,3,1492467.3509629336,1945724.8280004682,23.058022297195787
