model,base,base,base,base,base,textattack,textattack,textattack,textattack,textattack,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,fabriceyhc,wakaka,wakaka,wakaka,wakaka,wakaka
metrics,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration,loss_train,loss_test,f1_train,f1_test,duration
epoch,,,,,,,,,,,,,,,,,,,,
1,0.3413564916963141,0.2947662593259775,0.8533911576918444,0.874803435345349,0:00:08.983668,0.0911908341088692,0.2052131306731681,0.968236758623459,0.9344381274948592,0:00:08.868493,0.0531381272194313,0.2464628184758659,0.9837770549732964,0.9314946977944438,0:00:08.797146,0.2832331929322384,0.2588736053511798,0.8851543990683853,0.8920204830450386,0:00:08.866107
2,0.3048745562754029,0.2920516639373015,0.8719029835762758,0.8769001249949598,0:00:08.898100,0.0809972642246031,0.1984862350848547,0.9703650162631008,0.9341155598564574,0:00:08.873600,0.0494177500078925,0.3219025932806411,0.9861462474400676,0.9318172654328456,0:00:08.831089,0.2670416925078563,0.2538611140076948,0.8896518491747982,0.8951251965646546,0:00:08.779235
3,0.2952096783322916,0.2808234041950372,0.8767216801188612,0.8799241966049756,0:00:08.949960,0.0739468167720072,0.2142252076003697,0.9743805967152552,0.9327446473932502,0:00:08.770989,0.0474676302494377,0.2859691012875269,0.9862265590491104,0.9320995121164468,0:00:08.834580,0.2625179191350709,0.2543650790328907,0.8930650925591295,0.8956896899318576,0:00:08.779363
4,0.2872498165887804,0.2786449839735466,0.8790507167811107,0.8814967138421838,0:00:08.915519,0.0724626873903495,0.2058617081961199,0.9745412199333414,0.9333091407604532,0:00:08.812462,0.0478865067310605,0.2469059921769659,0.9865076496807612,0.9324624007096488,0:00:08.830311,0.2561651556316252,0.2500777495544903,0.8951531943942497,0.8994395387282771,0:00:08.729340
5,0.2842395631345386,0.2996297910464173,0.8813395976388387,0.8720212894641346,0:00:09.065765,0.0688368799013206,0.2414593460830709,0.9749026221740352,0.9347606951332608,0:00:09.006933,0.0467232490968335,0.2685967860647673,0.9863470264626752,0.9325027216644488,0:00:08.970126,0.2530315574856331,0.2487456343885626,0.898205035537887,0.8973428490786661,0:00:08.995133
6,0.2806055342135362,0.2935545338682599,0.8834276994739589,0.8754082496673521,0:00:08.917338,0.0666931418692142,0.2254628941672374,0.9761072963096816,0.9336317083988548,0:00:08.836792,0.0457811676089,0.2526441298086678,0.9863470264626752,0.9320188702068464,0:00:08.899349,0.2505630186408644,0.2482880319897133,0.8981648797333655,0.8974638119430668,0:00:08.800085
7,0.2733388899494348,0.2764654697132647,0.88527486648195,0.8844804644973994,0:00:08.932142,0.0650335425967996,0.2349432781978362,0.9766694775729832,0.9341962017660578,0:00:08.839148,0.0475341922391937,0.2542891754995993,0.9862265590491104,0.9324624007096488,0:00:08.886406,0.2448057455557072,0.2547929860488271,0.8997309561097057,0.9016975121970888,0:00:08.775388
8,0.2719108004012986,0.2853201550777192,0.8866000080311609,0.8837546873109955,0:00:08.885434,0.0626674355274837,0.2303558105120209,0.9765490101594184,0.9351235837264626,0:00:08.764440,0.0456125046198575,0.2500660316680241,0.9869493635304984,0.9326236845288496,0:00:08.833385,0.2445162191451437,0.2499081736632148,0.9015379673131751,0.9010120559654852,0:00:08.773088
