model,base,base,textattack,textattack,fabriceyhc,fabriceyhc,wakaka,wakaka
metric,f1_train,f1_test,f1_train,f1_test,f1_train,f1_test,f1_train,f1_test
epoch,,,,,,,,
10,0.8929847809500864,0.8875045361074151,0.9785166445809742,0.9341558808112576,0.9874713889892784,0.9313334139752428,0.9051921455246356,0.9021007217450908
20,0.9026623298397785,0.8894802628926253,0.9842589246275548,0.9321801540260474,0.98803357025258,0.9312124511108424,0.915271252459543,0.9015362283778878
30,0.9125005019475564,0.891738236361437,0.9869493635304984,0.9308092415628402,0.9887563747339678,0.9316963025684448,0.9230213227322008,0.9031893875246966
40,0.9213749347468176,0.8878271037458167,0.9902019836967434,0.9302850691504376,0.9900413604786572,0.9302447481956372,0.9314540416817252,0.9048828676263054
50,0.9302895233506004,0.8846417483166001,0.9914468136369112,0.9312930930204428,0.9907641649600448,0.9296802548284344,0.9373971007509136,0.8988750453610741
60,0.9323776251857206,0.8908511753558325,0.9927317993816006,0.929599612918834,0.9919688390956912,0.9301641062860369,0.9455085732642652,0.9001653159146809
70,0.9382805284503876,0.8866174751018104,0.9937356944946392,0.9303253901052376,0.9924908645544712,0.9293980081448328,0.94719511705417,0.8978267005362687
80,0.9420551740754126,0.8911737429942341,0.9941372525398546,0.933107535986452,0.992611331968036,0.9286319100036288,0.9510500742882384,0.9026248941574936
90,0.9449062361964422,0.8823837748477884,0.9940970967353332,0.9300834643764364,0.993133357426816,0.9285512680940284,0.9537405131911818,0.9000846740050804
100,0.950367425611372,0.8823837748477884,0.9953419266755008,0.9302850691504376,0.9934546038629885,0.9314946977944438,0.9563104846805606,0.9036732389822992
